run_id,payment_id,cycle,proposed_action,decision,rule,risk_level,reason,executed
agent-gpt-20260904T102534-ea77bf,pay_0003,2,RETRY_PAYMENT,DENY,RETRY_COOLDOWN,LOW,last attempt was under the 6h cooldown; an immediate re-presentment is likely to be refused,False
agent-gpt-20260904T102534-ea77bf,pay_0004,2,RETRY_PAYMENT,DENY,RETRY_COOLDOWN,LOW,last attempt was under the 6h cooldown; an immediate re-presentment is likely to be refused,False
agent-gpt-20260904T102534-ea77bf,pay_0035,1,RETRY_PAYMENT,REQUIRE_APPROVAL,HIGH_VALUE_APPROVAL,HIGH,amount 5562800 exceeds the automated ceiling of 1000000; human approval required,False
agent-gpt-20260904T102534-ea77bf,pay_0036,1,RETRY_PAYMENT,REQUIRE_APPROVAL,HIGH_VALUE_APPROVAL,HIGH,amount 2117500 exceeds the automated ceiling of 1000000; human approval required,False
agent-gpt-20260904T102534-ea77bf,pay_0034,1,SCHEDULE_RETRY,REQUIRE_APPROVAL,HIGH_VALUE_APPROVAL,HIGH,amount 3803500 exceeds the automated ceiling of 1000000; human approval required,False
agent-gpt-20260904T102534-ea77bf,pay_0037,1,SCHEDULE_RETRY,REQUIRE_APPROVAL,HIGH_VALUE_APPROVAL,HIGH,amount 1839200 exceeds the automated ceiling of 1000000; human approval required,False
agent-gpt-20260904T102534-ea77bf,pay_0041,2,RETRY_PAYMENT,DENY,RETRY_COOLDOWN,LOW,last attempt was under the 6h cooldown; an immediate re-presentment is likely to be refused,False
agent-gpt-20260904T102534-ea77bf,pay_0038,2,RETRY_PAYMENT,DENY,RETRY_COOLDOWN,LOW,last attempt was under the 6h cooldown; an immediate re-presentment is likely to be refused,False
agent-gpt-20260904T102534-ea77bf,pay_0047,1,SCHEDULE_RETRY,DENY,RECOVERY_WINDOW_EXPIRED,MEDIUM,recovery window closed at 2026-02-27T12:00:00+00:00,False
agent-gpt-20260904T102534-ea77bf,pay_0046,1,RETRY_PAYMENT,DENY,RECOVERY_WINDOW_EXPIRED,MEDIUM,recovery window closed at 2026-02-27T12:00:00+00:00,False
